DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,
2019/06/18 00:01:51,6/18/19,0:01:51,0.16,35.775,0.33,140.905,0.63,27.8,0.9,0.6V,NEAR CHOSHI CITY  k,
2019/06/18 00:02:28,6/18/19,0:02:28,0.23,35.69,0.63,139.804,0.89,105.4,1.9,1.5V,TOKYO PREF  A,
2019/06/18 00:04:01,6/18/19,0:04:01,0.05,39.618,0.2,140.429,0.28,4.5,1.6,0.4v,SOUTHERN AKITA PREF  A,
2019/06/18 00:06:36,6/18/19,0:06:36,0.45,43.344,2.05,145.544,2.07,92.6,3.4,1.1v,NEMURO REGION  A,
2019/06/18 00:07:46,6/18/19,0:07:46,0.07,33.874,0.18,135.211,0.18,8.2,0.7,-0.2v,CENTRAL WAKAYAMA PREF  A,
2019/06/18 00:08:44,6/18/19,0:08:44,0.05,28.792,0.1,129.841,0.29,18.1,0.8,1.3v,NEAR AMAMI-OSHIMA ISLAND,A
2019/06/18 00:12:33,6/18/19,0:12:33,0.21,24.794,0.95,125.271,0.74,46.4,1.6,1.8V,NEAR MIYAKOJIMA ISLAND  K,
2019/06/18 00:13:14,6/18/19,0:13:14,0.09,33.76,0.49,134.875,0.19,35,1.2,0.5v,S PART OF KII CHANNEL  A,
2019/06/18 00:13:49,6/18/19,0:13:49,0.03,34.019,0.1,134.339,0.13,6.5,1,1.1V,TOKUSHIMA PREF  A,
2019/06/18 00:14:09,6/18/19,0:14:09,0.29,35.662,0.63,140.8,0.97,17.6,2,1.4V,NEAR CHOSHI CITY  A,
2019/06/18 00:14:23,6/18/19,0:14:23,0.05,35.432,0.26,133.812,0.16,5.8,0.9,,EASTERN TOTTORI PREF  k,
2019/06/18 00:19:04,6/18/19,0:19:04,0.14,40.721,0.34,139.274,0.56,13.5,1.6,1.7V,W OFF AOMORI PREF  K,
2019/06/18 00:19:05,6/18/19,0:19:05,0.1,32.367,0.38,130.57,0.37,6.6,2,-0.3v,SOUTHERN KUMAMOTO PREF  A,
2019/06/18 00:20:03,6/18/19,0:20:03,0.07,35.438,0.28,133.817,0.18,6.2,1.1,0.4v,EASTERN TOTTORI PREF  A,
2019/06/18 00:22:54,6/18/19,0:22:54,0.19,34.835,0.27,136.525,0.57,14.4,2.1,0.3v,NORTHERN MIE PREF  A,
2019/06/18 00:25:15,6/18/19,0:25:15,0.07,32.014,0.19,129.723,0.34,11,1.6,1.6V,W OFF AMAKUSA ISLAND  A,
2019/06/18 00:25:52,6/18/19,0:25:52,0.04,32.755,0.1,130.746,0.14,13.4,0.6,0.8V,NW KUMAMOTO PREF  k,
2019/06/18 00:27:01,6/18/19,0:27:01,0.08,33.92,0.18,135.228,0.27,7.2,1.1,0.4V,CENTRAL WAKAYAMA PREF  A,
2019/06/18 00:27:02,6/18/19,0:27:02,0.08,28.441,0.2,128.878,0.74,79.6,1,0.8v,NEAR TOKARA ISLANDS  k,
2019/06/18 00:30:24,6/18/19,0:30:24,0.08,34.901,0.18,135.675,0.27,12.4,0.9,0.1V,KYOTO OSAKA BORDER REG  A,
2019/06/18 00:32:33,6/18/19,0:32:33,0.38,43.06,1.62,145.859,1.71,66.2,2.6,1.0V,OFF NEMURO PENINSULA  k,
2019/06/18 00:33:48,6/18/19,0:33:48,0.07,34.864,0.17,137.025,0.26,36.2,0.7,0.9V,MIKAWA BAY REGION  A,
2019/06/18 00:34:16,6/18/19,0:34:16,0.06,34.12,0.34,135.491,0.25,2.5,1.4,-0.2V,NE WAKAYAMA PREF  a,
